food,source
"Commerical mix,Commercial pellets,Homemade food (i.e., pasta, oatmeal, etc.)","Animal shelter/rescue,Breeder"
"Commerical mix,Homemade food (i.e., pasta, oatmeal, etc.),Other food. Please specify:","From a friend/family member,From an online ad/ newspaper/ Craigslist"
